fighter_a,fighter_b,a_kd,b_kd,a_sig_str_landed,a_sig_str_att,b_sig_str_landed,b_sig_str_att,a_total_str_landed,a_total_str_att,b_total_str_landed,b_total_str_att,a_td_landed,a_td_att,b_td_landed,b_td_att,a_sub_att,b_sub_att,a_rev,b_rev,a_ctrl_sec,b_ctrl_sec,a_head_landed,a_head_att,b_head_landed,b_head_att,a_body_landed,a_body_att,b_body_landed,b_body_att,a_leg_landed,a_leg_att,b_leg_landed,b_leg_att,a_dist_landed,a_dist_att,b_dist_landed,b_dist_att,a_clinch_landed,a_clinch_att,b_clinch_landed,b_clinch_att,a_ground_landed,a_ground_att,b_ground_landed,b_ground_att,fight_url
Ion Cutelaba,Henrique da Silva,1,0,15,18,1,2,15,18,1,2,0,0,0,0,0,0,0,0,9,0,15,18,1,2,0,0,0,0,0,0,0,0,4,6,1,2,0,0,0,0,11,12,0,0,http://www.ufcstats.com/fight-details/4507354cd97f10e5
Tim Elliott,Ben Nguyen,0,0,1,4,3,7,1,4,8,12,0,2,1,1,0,1,0,0,0,31,0,2,3,7,0,0,0,0,1,2,0,0,1,4,2,6,0,0,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/2dfa31667cee74c3
Alexander Volkanovski,Mizuto Hirota,1,0,33,56,16,41,35,58,19,44,3,4,0,0,0,0,0,0,143,0,23,42,12,37,2,4,1,1,8,10,3,3,10,29,13,35,5,6,1,4,18,21,2,2,http://www.ufcstats.com/fight-details/e4db3b1669d498c3
Damien Brown,Vinc Pichel,0,1,21,56,19,38,21,56,19,38,0,0,0,0,0,0,0,0,0,2,16,51,13,29,1,1,4,4,4,4,2,5,18,53,14,31,3,3,2,2,0,0,3,5,http://www.ufcstats.com/fight-details/165d3a571fcc5e3c
Luke Jumeau,Dominique Steele,0,0,7,24,19,38,14,32,23,43,0,0,1,1,0,0,0,0,0,82,3,18,13,28,2,3,5,8,2,3,1,2,6,22,9,27,1,2,1,1,0,0,9,10,http://www.ufcstats.com/fight-details/288b479c485c48b2
John Moraga,Ashkan Mokhtarian,0,0,17,26,0,4,18,28,0,4,0,0,1,2,2,0,0,0,103,109,10,17,0,4,5,7,0,0,2,2,0,0,6,11,0,4,4,6,0,0,7,9,0,0,http://www.ufcstats.com/fight-details/11cb7d7d774d5e6a
Kiichi Kunimoto,Zak Ottow,0,0,14,24,22,46,16,26,39,64,0,3,1,1,0,0,0,0,74,7,4,10,12,31,1,1,4,9,9,13,6,6,11,21,21,45,3,3,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/1b1d1900b4051344
JJ Aldrich,Chan-Mi Jeon,0,0,33,62,32,67,33,62,33,69,0,0,0,0,0,0,0,0,0,2,26,52,20,47,1,3,6,12,6,7,6,8,27,55,28,62,6,7,2,3,0,0,2,2,http://www.ufcstats.com/fight-details/bd4a648bebaefab3
Jose Aldo,Max Holloway,0,0,19,35,12,32,19,35,12,32,0,0,0,0,0,0,0,0,0,0,13,27,7,25,5,7,5,7,1,1,0,0,18,34,12,31,1,1,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/9ed0c3acc436eb56
Claudia Gadelha,Karolina Kowalkiewicz,0,0,8,28,9,37,8,28,12,40,1,2,0,0,1,0,0,0,46,0,6,24,6,33,2,3,0,1,0,1,3,3,6,26,9,36,2,2,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/5bfaa389a67139fd
Vitor Belfort,Nate Marquardt,0,0,3,10,11,23,3,11,21,33,0,0,1,1,0,0,0,0,0,63,3,9,1,13,0,1,3,3,0,0,7,7,2,9,10,22,0,0,1,1,1,1,0,0,http://www.ufcstats.com/fight-details/823e9449bd47e408
Paulo Costa,Oluwale Bamgbose,0,0,29,53,24,47,36,61,31,54,0,1,2,5,0,0,0,0,2,82,10,30,8,24,18,22,11,18,1,1,5,5,14,30,15,37,15,23,9,10,0,0,0,0,http://www.ufcstats.com/fight-details/6b581bb1bc9289ef
Erick Silva,Yancy Medeiros,0,0,15,28,18,59,15,28,19,61,0,1,0,0,0,0,0,0,0,6,6,16,12,49,5,8,5,8,4,4,1,2,14,27,17,55,1,1,1,4,0,0,0,0,http://www.ufcstats.com/fight-details/6c9fdcb95393a49c
Raphael Assuncao,Marlon Moraes,0,0,13,44,14,50,13,44,14,50,0,1,0,0,0,0,0,0,0,0,10,36,4,38,0,2,6,7,3,6,4,5,13,43,14,49,0,1,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/228879162d8be605
Antonio Carlos Junior,Eric Spicely,0,0,10,17,12,17,28,38,22,28,1,1,1,1,1,0,0,0,82,35,8,14,12,17,1,2,0,0,1,1,0,0,1,3,0,2,0,1,0,0,9,13,12,15,http://www.ufcstats.com/fight-details/3ad3acca165a5d90
Johnny Eduardo,Matthew Lopez,0,0,16,30,43,57,16,30,59,73,0,0,1,1,1,0,0,0,0,76,11,23,43,57,0,1,0,0,5,6,0,0,16,30,4,12,0,0,0,0,0,0,39,45,http://www.ufcstats.com/fight-details/36f0c6d7126e09ee
Iuri Alcantara,Brian Kelleher,0,0,12,28,4,15,12,29,4,15,1,1,0,0,0,1,0,0,8,0,8,21,1,8,4,6,2,4,0,1,1,3,10,26,4,14,2,2,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/cb2844bb15d22cc6
Viviane Pereira,Jamie Moyle,0,0,17,55,33,45,25,65,37,49,0,0,0,0,0,0,0,0,71,3,16,50,10,20,0,4,16,17,1,1,7,8,14,49,23,35,3,6,10,10,0,0,0,0,http://www.ufcstats.com/fight-details/2fd43be584ef522b
Luan Chagas,Jim Wallhead,0,0,42,71,16,74,42,71,16,74,0,1,0,2,0,0,0,0,2,0,32,58,12,67,1,4,3,6,9,9,1,1,39,67,16,74,3,4,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/88e0de323a83f241
Marco Beltran,Deiveson Figueiredo,0,0,6,12,4,6,8,14,4,6,0,0,1,2,0,2,0,0,114,111,5,11,1,3,0,0,2,2,1,1,1,1,1,6,2,3,0,0,1,1,5,6,1,2,http://www.ufcstats.com/fight-details/6486579eee778b4d
Alexander Gustafsson,Glover Teixeira,0,0,14,42,5,25,14,42,5,25,0,0,1,3,0,0,0,0,0,9,11,36,5,25,0,3,0,0,3,3,0,0,14,42,4,20,0,0,1,5,0,0,0,0,http://www.ufcstats.com/fight-details/923d5041c3b6d763
Volkan Oezdemir,Misha Cirkunov,1,0,5,7,9,19,5,7,9,19,0,0,0,0,0,0,0,0,2,0,5,7,7,16,0,0,2,3,0,0,0,0,3,5,9,19,0,0,0,0,2,2,0,0,http://www.ufcstats.com/fight-details/79be3a6d483ad64a
Peter Sobotta,Ben Saunders,2,0,27,61,14,43,31,66,18,49,0,0,0,0,0,0,0,0,62,0,23,56,6,25,0,1,5,13,4,4,3,5,17,44,9,37,1,2,0,1,9,15,5,5,http://www.ufcstats.com/fight-details/8cdc9c13d75adb28
Abdul Razak Alhassan,Omari Akhmedov,0,0,9,31,13,54,9,32,17,58,0,0,1,2,0,0,0,0,0,62,5,24,11,50,2,3,0,2,2,4,2,2,8,29,11,49,1,2,1,3,0,0,1,2,http://www.ufcstats.com/fight-details/78e38f1ad43c3479
Oliver Enkamp,Nordine Taleb,0,0,10,36,17,29,12,38,20,32,1,2,1,1,0,0,0,0,46,53,2,23,8,18,7,12,4,4,1,1,5,7,1,25,12,24,9,11,4,4,0,0,1,1,http://www.ufcstats.com/fight-details/33913e8e56c49a4c
Jack Hermansson,Alex Nicholson,0,0,23,29,1,4,39,47,3,6,1,1,0,0,0,1,0,0,99,0,23,29,0,2,0,0,1,2,0,0,0,0,1,2,1,4,0,0,0,0,22,27,0,0,http://www.ufcstats.com/fight-details/2105210529457ffd
Pedro Munhoz,Damian Stasiak,0,0,22,54,13,45,22,54,13,45,0,3,2,2,1,0,0,0,1,13,10,29,9,37,6,14,3,7,6,11,1,1,18,47,12,44,4,7,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/9674c37e3a2bc399
Trevor Smith,Chris Camozzi,0,0,10,19,4,6,20,30,11,13,2,2,0,0,0,1,0,0,261,0,7,13,1,2,1,1,3,4,2,5,0,0,2,2,0,1,2,6,4,5,6,11,0,0,http://www.ufcstats.com/fight-details/ac6cb989ccc38f73
Reza Madadi,Joaquim Silva,0,0,5,11,6,22,43,50,11,32,2,3,0,0,0,0,0,0,198,0,3,9,6,22,2,2,0,0,0,0,0,0,3,7,2,18,1,1,0,0,1,3,4,4,http://www.ufcstats.com/fight-details/2c101a0bcf334d31
Nicholas Musoke,Bojan Velickovic,0,0,11,36,9,22,19,45,42,55,1,3,0,1,0,0,0,0,111,7,9,34,5,16,2,2,1,1,0,0,3,5,8,32,9,21,0,0,0,1,3,4,0,0,http://www.ufcstats.com/fight-details/9c3f3bc7f7472e0c
Darren Till,Jessin Ayari,0,0,6,22,8,34,6,22,9,35,2,3,0,0,0,0,0,0,21,0,4,20,5,31,1,1,1,1,1,1,2,2,5,21,6,32,1,1,2,2,0,0,0,0,http://www.ufcstats.com/fight-details/1ed9dbbe604654b9
Marcin Held,Damir Hadzovic,0,0,22,53,10,24,40,73,11,25,1,1,0,0,0,0,0,0,183,0,22,53,9,23,0,0,1,1,0,0,0,0,11,38,10,24,6,8,0,0,5,7,0,0,http://www.ufcstats.com/fight-details/b166f1582946fbbc
Stipe Miocic,Junior Dos Santos,1,0,26,56,12,18,26,56,12,18,0,0,0,0,0,0,0,0,5,0,23,50,4,9,0,2,3,4,3,4,5,5,15,39,12,18,3,4,0,0,8,13,0,0,http://www.ufcstats.com/fight-details/16a0352f3e19b931
Joanna Jedrzejczyk,Jessica Andrade,0,0,46,60,16,30,46,60,20,34,0,0,1,3,0,0,0,0,6,86,13,27,7,20,12,12,4,5,21,21,5,5,33,45,12,24,13,15,4,6,0,0,0,0,http://www.ufcstats.com/fight-details/0fd8214ac276728e
Demian Maia,Jorge Masvidal,0,0,6,8,19,29,35,43,24,34,3,5,0,0,0,0,0,0,230,20,6,8,15,24,0,0,4,5,0,0,0,0,0,0,0,1,6,8,3,3,0,0,16,25,http://www.ufcstats.com/fight-details/6e3139f066149a81
Frankie Edgar,Yair Rodriguez,0,0,40,57,10,26,51,70,16,33,1,2,0,0,0,0,0,0,243,0,39,56,8,24,1,1,1,1,0,0,1,1,2,11,3,13,0,0,2,4,38,46,5,9,http://www.ufcstats.com/fight-details/39f746cee66e8771
Krzysztof Jotko,David Branch,0,0,5,11,15,32,19,27,46,63,1,1,1,2,0,0,0,0,27,204,2,6,5,18,3,5,5,8,0,0,5,6,0,4,3,13,5,6,7,12,0,1,5,7,http://www.ufcstats.com/fight-details/362a5b3cd4a70330
Eddie Alvarez,Dustin Poirier,0,0,17,55,29,75,17,55,29,75,0,1,0,0,0,0,0,0,0,0,9,44,19,62,7,9,5,8,1,2,5,5,17,55,28,74,0,0,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/6fe9729cee57c680
Chas Skelly,Jason Knight,0,0,7,24,15,27,15,32,18,31,1,2,1,1,0,3,0,2,149,43,6,22,10,22,1,2,0,0,0,0,5,5,7,23,10,22,0,0,3,3,0,1,2,2,http://www.ufcstats.com/fight-details/9882c1dac77c0367
Chase Sherman,Rashad Coulter,0,0,39,132,15,44,39,132,15,44,0,0,0,0,0,0,0,0,0,0,17,105,13,42,3,3,1,1,19,24,1,1,38,130,15,43,1,2,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/f26657d5018ee428
James Vick,Marco Polo Reyes,1,0,20,52,16,42,20,52,16,42,0,0,0,0,0,0,0,0,4,0,14,44,3,23,5,7,6,9,1,1,7,10,13,43,12,38,1,1,4,4,6,8,0,0,http://www.ufcstats.com/fight-details/567cefcaba821205
Jessica Aguilar,Cortney Casey,0,0,21,39,35,92,33,53,62,123,1,1,0,0,0,0,0,0,156,7,10,26,25,82,3,4,2,2,8,9,8,8,8,16,18,69,2,3,9,13,11,20,8,10,http://www.ufcstats.com/fight-details/af2ef75664656957
Gabriel Benitez,Enrique Barzola,0,0,19,52,11,47,19,52,22,62,0,0,3,4,0,0,0,0,0,64,9,40,5,37,6,8,2,5,4,4,4,5,19,51,11,45,0,1,0,0,0,0,0,2,http://www.ufcstats.com/fight-details/7188621a628e718d
Joachim Christensen,Gadzhimurad Antigulov,0,0,1,3,2,4,1,3,7,12,0,0,1,1,0,1,0,0,0,119,1,3,1,3,0,0,0,0,0,0,1,1,1,3,1,3,0,0,0,0,0,0,1,1,http://www.ufcstats.com/fight-details/14dbcdbe8e7251bf
Cub Swanson,Artem Lobov,0,0,23,40,29,52,25,42,33,57,0,1,1,1,0,0,0,0,0,42,9,21,12,31,6,9,5,7,8,10,12,14,22,39,28,51,1,1,0,0,0,0,1,1,http://www.ufcstats.com/fight-details/b29ed164b3014a42
Al Iaquinta,Diego Sanchez,2,0,12,19,4,15,12,19,4,15,0,0,0,0,0,0,0,0,5,0,9,15,2,13,1,2,2,2,2,2,0,0,8,15,4,14,2,2,0,1,2,2,0,0,http://www.ufcstats.com/fight-details/2310fbcb6fdf3b47
Ovince Saint Preux,Marcos Rogerio de Lima,0,0,11,27,15,43,11,27,15,43,0,1,0,0,0,0,0,0,0,0,6,19,3,12,3,5,4,14,2,3,8,17,10,26,15,43,1,1,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/53c96668bf850809
John Dodson,Eddie Wineland,0,0,15,32,4,39,15,32,4,39,0,1,0,0,0,0,0,0,0,0,4,21,2,36,8,8,2,3,3,3,0,0,15,32,4,39,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/8b97cd609c7152b7
Joe Lauzon,Stevie Ray,0,0,19,21,4,5,30,33,9,11,3,3,0,0,1,0,0,0,267,3,19,21,1,2,0,0,2,2,0,0,1,1,0,0,3,4,1,1,1,1,18,20,0,0,http://www.ufcstats.com/fight-details/41385f4e63682b5b
Jake Ellenberger,Mike Perry,0,0,12,30,22,47,15,33,24,49,1,4,0,0,0,0,0,0,28,0,10,26,8,28,2,4,4,8,0,0,10,11,10,28,21,46,2,2,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/3905e5dc489811d6
Thales Leites,Sam Alvey,0,0,14,25,8,32,14,25,8,32,0,1,0,0,0,0,0,0,0,0,2,12,7,31,2,3,1,1,10,10,0,0,14,25,7,30,0,0,1,2,0,0,0,0,http://www.ufcstats.com/fight-details/2d6182d1d398ed6a
Dustin Ortiz,Brandon Moreno,0,0,6,16,7,15,21,32,13,22,3,9,0,0,0,1,1,1,243,20,0,8,6,13,1,2,1,1,5,6,0,1,1,8,3,10,4,7,2,3,1,1,2,2,http://www.ufcstats.com/fight-details/319f3fad278368e6
Scott Holtzman,Michael McBride,1,0,27,48,34,68,27,48,50,84,0,2,1,1,0,1,1,1,91,34,19,33,17,44,3,8,9,15,5,7,8,9,23,39,30,59,2,3,2,4,2,6,2,5,http://www.ufcstats.com/fight-details/cf18911df2052826
Jessica Penne,Danielle Taylor,0,0,19,54,22,60,19,54,23,61,0,0,0,0,0,0,0,0,0,0,10,41,14,50,9,13,2,2,0,0,6,8,18,52,21,59,1,2,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/c0c587cb52de929b
Alexis Davis,Cindy Dandois,0,0,7,12,7,13,26,34,27,42,0,0,1,1,0,0,1,0,85,151,6,11,7,12,1,1,0,0,0,0,0,1,2,4,1,6,0,0,0,0,5,8,6,7,http://www.ufcstats.com/fight-details/f313eae425b7c539
Bryan Barberena,Joe Proctor,1,0,28,45,8,23,28,45,8,23,0,0,0,0,0,0,0,0,7,0,22,36,4,16,1,1,2,5,5,8,2,2,16,29,8,23,6,9,0,0,6,7,0,0,http://www.ufcstats.com/fight-details/7d4e11c2a9485320
Hector Sandoval,Matt Schnell,0,0,32,50,16,40,52,70,27,52,3,8,1,1,0,1,0,0,58,6,22,37,8,29,6,7,4,6,4,6,4,5,5,13,6,24,17,25,10,15,10,12,0,1,http://www.ufcstats.com/fight-details/6ccfbe3a7c5aa55e
Demetrious Johnson,Wilson Reis,0,0,25,56,4,55,25,56,5,56,0,0,0,2,0,0,0,0,1,1,14,43,1,46,4,6,0,5,7,7,3,4,22,48,4,54,3,8,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/f63961f9d14bc33d
Rose Namajunas,Michelle Waterson-Gomez,0,0,14,25,14,20,18,33,22,29,1,1,1,1,0,0,1,0,177,50,11,20,4,8,3,3,2,3,0,2,8,9,4,14,11,17,4,4,2,2,6,7,1,1,http://www.ufcstats.com/fight-details/e52318719d839d2d
Jacare Souza,Robert Whittaker,0,0,5,24,18,39,8,27,19,40,1,2,0,0,0,0,0,0,48,4,4,21,15,34,1,3,3,5,0,0,0,0,2,20,17,38,3,4,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/0459297e86a14981
Jeremy Stephens,Renato Moicano,0,0,10,41,23,37,21,52,26,41,0,0,1,1,0,0,0,0,0,90,3,31,4,11,1,1,1,3,6,9,18,23,10,41,20,34,0,0,0,0,0,0,3,3,http://www.ufcstats.com/fight-details/d764ef3e078c96c8
Alexander Volkov,Roy Nelson,0,0,29,39,9,14,32,42,12,17,0,0,1,3,0,0,0,0,23,192,20,29,7,12,5,6,2,2,4,4,0,0,17,23,2,6,12,16,6,6,0,0,1,2,http://www.ufcstats.com/fight-details/b0552b065ca7f401
Patrick Williams,Tom Duquesnoy,0,1,32,63,30,40,37,70,30,40,2,4,0,0,0,0,0,0,38,13,15,43,13,22,11,14,12,13,6,6,5,5,19,43,17,24,12,19,12,15,1,1,1,1,http://www.ufcstats.com/fight-details/20be16a1db95156c
King Green,Rashid Magomedov,0,0,26,39,17,47,36,50,25,55,0,3,0,0,0,0,0,0,76,0,2,13,11,35,9,10,6,10,15,16,0,2,15,27,13,42,11,12,3,4,0,0,1,1,http://www.ufcstats.com/fight-details/f24c296256faeff2
Louis Smolka,Tim Elliott,0,0,8,25,25,38,10,27,47,61,0,2,5,5,0,0,3,1,46,182,7,24,10,21,1,1,11,13,0,0,4,4,1,11,8,17,1,3,9,13,6,11,8,8,http://www.ufcstats.com/fight-details/41cef92a01e7ff3c
Aljamain Sterling,Augusto Mendes,0,1,23,46,9,20,43,68,33,48,1,1,0,0,0,0,0,1,204,11,1,15,3,13,18,21,2,3,4,10,4,4,7,21,7,17,0,0,0,0,16,25,2,3,http://www.ufcstats.com/fight-details/677e98ae5834ba70
Devin Clark,Jake Collier,0,0,16,27,22,36,44,58,29,44,1,1,0,1,0,0,0,0,125,86,8,18,8,17,5,6,8,12,3,3,6,7,7,16,8,16,4,6,14,20,5,5,0,0,http://www.ufcstats.com/fight-details/4291b38643547fa7
Anthony Smith,Andrew Sanchez,0,0,14,27,17,28,22,37,29,44,0,0,1,1,0,0,1,0,64,97,7,20,9,18,4,4,5,7,3,3,3,3,10,23,12,23,3,3,0,0,1,1,5,5,http://www.ufcstats.com/fight-details/0673d8ab0add7a05
Zak Cummings,Nathan Coy,0,0,25,72,23,41,25,72,23,41,0,0,1,1,2,0,0,0,11,5,20,66,13,29,2,3,7,8,3,3,3,4,21,68,22,40,2,2,1,1,2,2,0,0,http://www.ufcstats.com/fight-details/2a0d4dd0997bd712
Ashlee Evans-Smith,Ketlen Vieira,0,0,35,61,24,77,50,76,26,80,0,2,0,3,0,0,0,0,1,101,9,33,19,71,9,9,5,6,17,19,0,0,24,50,17,68,11,11,7,9,0,0,0,0,http://www.ufcstats.com/fight-details/94ce682e4a3e556a
Daniel Cormier,Anthony Johnson,0,0,12,14,16,25,32,34,16,25,0,0,0,2,0,0,0,0,100,135,7,9,5,14,4,4,5,5,1,1,6,6,0,1,9,17,12,13,7,8,0,0,0,0,http://www.ufcstats.com/fight-details/ea8eaf881d38713e
Chris Weidman,Gegard Mousasi,0,0,10,22,21,52,13,25,22,53,3,4,0,0,1,0,0,0,116,0,7,19,16,45,2,2,1,2,1,1,4,5,10,21,16,45,0,0,5,7,0,1,0,0,http://www.ufcstats.com/fight-details/87a969d51de6e179
Cynthia Calvillo,Pearl Gonzalez,0,0,27,110,17,52,30,113,17,52,0,0,1,2,1,0,0,0,0,66,21,101,15,49,3,6,1,2,3,3,1,1,26,109,15,50,1,1,2,2,0,0,0,0,http://www.ufcstats.com/fight-details/687d973d71e068dc
Thiago Alves,Patrick Cote,1,0,27,57,13,39,45,75,13,39,0,0,0,0,0,0,0,0,55,0,20,48,4,28,0,0,5,6,7,9,4,5,13,37,13,37,1,3,0,2,13,17,0,0,http://www.ufcstats.com/fight-details/a68672f66e12a3c2
Will Brooks,Charles Oliveira,0,0,4,5,3,7,8,9,3,7,0,0,2,2,0,1,0,0,0,101,1,2,0,2,2,2,1,2,1,1,2,3,4,5,2,6,0,0,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/56c7c59c9bb3b610
Myles Jury,Mike de la Torre,0,0,36,52,0,3,44,62,2,5,1,1,0,0,0,0,0,0,182,0,36,51,0,3,0,1,0,0,0,0,0,0,1,5,0,3,0,0,0,0,35,47,0,0,http://www.ufcstats.com/fight-details/23ba0218f9f65e33
Kamaru Usman,Sean Strickland,0,0,24,37,5,15,37,50,7,19,1,5,0,0,0,0,0,0,258,0,13,24,4,14,3,4,0,0,8,9,1,1,2,7,5,15,6,8,0,0,16,22,0,0,http://www.ufcstats.com/fight-details/b2c1f9bdd5d3073d
Shane Burgos,Charles Rosa,0,0,27,73,38,109,27,74,38,109,0,0,0,2,0,0,0,0,3,0,20,63,16,71,6,8,4,12,1,2,18,26,27,72,38,108,0,1,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/ddb015ac5c067aa9
Patrick Cummins,Jan Blachowicz,0,1,16,36,31,51,23,45,37,57,1,6,0,0,0,0,0,0,88,40,15,34,26,45,1,2,5,6,0,0,0,0,9,25,18,33,4,7,10,13,3,4,3,5,http://www.ufcstats.com/fight-details/e7ad1c3a763c7cae
Gregor Gillespie,Andrew Holbrook,1,0,8,12,4,9,9,13,4,9,0,0,0,0,0,0,0,0,5,0,7,11,3,8,0,0,1,1,1,1,0,0,4,7,4,9,0,0,0,0,4,5,0,0,http://www.ufcstats.com/fight-details/8b4eeaa048361ba3
Josh Emmett,Desmond Green,0,0,17,51,17,36,17,51,17,36,0,0,0,0,0,0,0,0,0,0,5,37,13,30,4,6,1,2,8,8,3,4,17,51,17,36,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/97b7638c592a95a9
Katlyn Cerminara,Irene Aldana,0,0,25,79,17,59,26,80,18,60,0,3,0,0,0,0,0,0,7,0,9,51,9,47,10,19,2,2,6,9,6,10,24,78,17,58,1,1,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/2464a75ee75dbf2f
Jenel Lausa,Bibulatov Magomed,0,0,2,17,13,38,2,17,13,38,0,0,0,2,0,0,0,0,0,12,0,15,4,24,1,1,5,9,1,1,4,5,2,17,12,35,0,0,1,3,0,0,0,0,http://www.ufcstats.com/fight-details/c4da9ec26a924a7d
Jimi Manuwa,Corey Anderson,1,0,6,13,6,27,6,13,6,27,0,0,0,3,0,0,0,0,1,0,5,11,4,24,0,1,0,1,1,1,2,2,6,13,5,26,0,0,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/00be3852000f8fe9
Gunnar Nelson,Alan Jouban,0,0,7,13,10,19,16,23,10,19,1,2,0,0,0,0,0,0,176,0,6,12,4,9,1,1,0,4,0,0,6,6,2,8,10,19,1,1,0,0,4,4,0,0,http://www.ufcstats.com/fight-details/7e6f91cbf8e93210
Brad Pickett,Marlon Vera,0,0,17,35,24,50,17,35,24,50,1,3,0,0,0,0,0,0,52,1,15,29,14,32,1,2,4,10,1,4,6,8,17,35,20,45,0,0,4,5,0,0,0,0,http://www.ufcstats.com/fight-details/1e5c66d12761d4fe
Arnold Allen,Makwan Amirkhani,0,0,8,29,6,13,23,44,8,16,1,2,2,3,0,2,0,0,118,109,4,23,5,11,4,4,1,2,0,2,0,0,4,21,4,10,1,3,0,1,3,5,2,2,http://www.ufcstats.com/fight-details/7ec86f2af631344f
Joe Duffy,Reza Madadi,0,0,9,17,4,7,17,26,10,15,0,0,2,3,0,0,1,0,214,46,7,15,2,4,2,2,1,1,0,0,1,2,2,9,2,5,0,0,1,1,7,8,1,1,http://www.ufcstats.com/fight-details/55f727e00553035d
Darren Stewart,Francimar Barroso,0,0,14,27,12,24,23,38,20,33,1,3,1,4,0,0,0,0,18,121,6,16,4,14,2,3,5,6,6,8,3,4,7,14,7,13,6,10,5,9,1,3,0,2,http://www.ufcstats.com/fight-details/c365a488a8de3c89
Daniel Omielanczuk,Timothy Johnson,0,0,21,29,19,34,31,40,26,47,0,0,0,1,0,0,0,0,0,148,6,12,6,19,10,11,3,5,5,6,10,10,13,19,5,18,8,10,14,16,0,0,0,0,http://www.ufcstats.com/fight-details/f99ee57f75b20b69
Leon Edwards,Vicente Luque,0,0,9,19,9,13,11,21,27,31,0,3,2,3,0,0,0,0,21,180,6,16,5,8,1,1,2,3,2,2,2,2,7,17,7,11,2,2,1,1,0,0,1,1,http://www.ufcstats.com/fight-details/88ce808e4e604180
Marc Diakiese,Teemu Packalen,1,0,6,7,1,1,6,7,1,1,0,0,0,0,0,0,0,0,1,0,2,3,0,0,2,2,1,1,2,2,0,0,6,7,1,1,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/eee7f546c126ee8b
Brad Scott,Scott Askham,1,0,24,53,18,39,26,55,18,39,0,0,0,1,0,0,0,0,75,5,10,33,7,25,7,12,8,11,7,8,3,3,19,46,16,35,3,5,2,4,2,2,0,0,http://www.ufcstats.com/fight-details/794b63b4c1e1e789
Lina Lansberg,Lucie Pudilova,0,0,22,39,23,45,30,49,38,61,0,2,0,2,0,0,0,0,117,59,7,19,9,28,10,15,13,16,5,5,1,1,1,12,10,29,21,27,13,16,0,0,0,0,http://www.ufcstats.com/fight-details/0bb419537705fb04
Vitor Belfort,Kelvin Gastelum,0,2,10,28,26,49,10,28,26,49,0,0,0,0,0,0,0,0,0,42,5,22,25,48,5,6,0,0,0,0,1,1,10,28,13,31,0,0,0,0,0,0,13,18,http://www.ufcstats.com/fight-details/58450502a93454c8
Mauricio Rua,Gian Villante,1,0,39,77,25,69,39,77,25,69,2,3,0,0,0,0,0,0,0,9,28,61,21,64,6,9,2,3,5,7,2,2,39,75,25,69,0,2,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/34524408fb4d6752
Edson Barboza,Beneil Dariush,0,0,16,45,28,67,17,46,28,67,0,0,0,1,0,0,0,0,2,0,7,33,14,49,8,11,6,10,1,1,8,8,16,45,26,63,0,0,2,4,0,0,0,0,http://www.ufcstats.com/fight-details/b47e4f0982938e5b
Jussier Formiga,Ray Borg,0,0,17,29,14,43,28,40,15,44,0,2,0,0,0,0,0,0,63,0,8,19,4,29,6,7,8,12,3,3,2,2,12,23,4,26,5,6,10,17,0,0,0,0,http://www.ufcstats.com/fight-details/74d4e37b97866514
Bethe Correia,Marion Reneau,0,0,15,37,20,45,23,46,32,57,1,1,0,0,0,0,0,0,80,0,8,28,6,30,2,4,8,8,5,5,6,7,15,36,15,40,0,1,5,5,0,0,0,0,http://www.ufcstats.com/fight-details/b03dd50785e761a0
Alex Oliveira,Tim Means,0,0,6,14,4,7,12,20,24,31,4,6,0,0,0,0,0,0,167,104,2,10,3,6,0,0,1,1,4,4,0,0,2,6,0,2,3,3,2,2,1,5,2,3,http://www.ufcstats.com/fight-details/24f156a78bd32026
Francisco Trinaldo,Kevin Lee,0,0,17,41,8,23,22,47,12,28,0,0,1,7,1,0,0,0,40,103,15,39,4,18,2,2,4,5,0,0,0,0,8,30,5,19,4,5,3,3,5,6,0,1,http://www.ufcstats.com/fight-details/76602c3658d70273
